epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6516,1.41681,2.0282,1.39119,0.5393,0.39764,0.40057,0.18304,1.71381,2.18456,1.71401,0.000661202,0.000661202,0.000661202
2,86.9272,1.43385,1.59409,1.39101,0.48992,0.58235,0.52098,0.24901,1.77801,2.0145,1.83603,0.00130158,0.00130158,0.00130158
3,126.768,1.45318,1.53468,1.42443,0.54728,0.42913,0.45145,0.20931,1.77972,2.18014,1.76327,0.00191555,0.00191555,0.00191555
4,169.301,1.42274,1.40629,1.38699,0.62771,0.5315,0.61157,0.31268,1.65037,1.69319,1.61764,0.0018812,0.0018812,0.0018812
5,210.423,1.4013,1.35195,1.38472,0.60916,0.60236,0.63895,0.34002,1.55427,1.67765,1.55918,0.0018416,0.0018416,0.0018416
6,251.469,1.33371,1.23617,1.33285,0.79482,0.6863,0.7696,0.44511,1.48584,1.2102,1.46131,0.001802,0.001802,0.001802
7,292.333,1.31037,1.19033,1.32119,0.78361,0.70866,0.77781,0.44788,1.40095,1.18879,1.39919,0.0017624,0.0017624,0.0017624
8,333.163,1.29335,1.14403,1.29054,0.74695,0.68898,0.75071,0.42149,1.46379,1.28318,1.42774,0.0017228,0.0017228,0.0017228
9,374.473,1.27832,1.12718,1.29528,0.78068,0.7126,0.81369,0.47187,1.39156,1.08801,1.3969,0.0016832,0.0016832,0.0016832
10,415.451,1.23902,1.07097,1.26859,0.78302,0.7672,0.83555,0.507,1.31392,1.04244,1.33796,0.0016436,0.0016436,0.0016436
11,456.676,1.23272,1.05609,1.25776,0.68132,0.65652,0.68894,0.39113,1.41594,1.36966,1.43376,0.001604,0.001604,0.001604
12,496.946,1.20355,1.02413,1.24671,0.85152,0.83858,0.91105,0.58176,1.21812,0.8778,1.24157,0.0015644,0.0015644,0.0015644
13,536.689,1.18774,0.98145,1.21924,0.76386,0.76414,0.84445,0.52157,1.28498,1.0239,1.29122,0.0015248,0.0015248,0.0015248
14,577.633,1.14759,0.9533,1.21023,0.85957,0.76378,0.86973,0.55,1.23775,0.93409,1.2653,0.0014852,0.0014852,0.0014852
15,617.886,1.1442,0.91007,1.19631,0.84798,0.79059,0.89136,0.57383,1.21217,0.85584,1.24934,0.0014456,0.0014456,0.0014456
16,658.487,1.11757,0.87928,1.18598,0.83573,0.85039,0.92378,0.59955,1.23158,0.79926,1.23044,0.001406,0.001406,0.001406
17,698.399,1.10763,0.87037,1.18232,0.82302,0.84646,0.91304,0.61942,1.12426,0.79486,1.17649,0.0013664,0.0013664,0.0013664
18,738.523,1.09993,0.85304,1.17806,0.83909,0.86226,0.91445,0.62649,1.12558,0.76815,1.17347,0.0013268,0.0013268,0.0013268
19,779.712,1.08123,0.84185,1.17385,0.87539,0.83858,0.93144,0.63578,1.08621,0.7314,1.14089,0.0012872,0.0012872,0.0012872
20,822.671,1.06317,0.80526,1.15432,0.8876,0.80833,0.91101,0.62075,1.10398,0.78859,1.17584,0.0012476,0.0012476,0.0012476
21,866.166,1.04516,0.79656,1.14452,0.85868,0.90945,0.94621,0.64706,1.07153,0.69657,1.1271,0.001208,0.001208,0.001208
22,908.454,1.03077,0.76077,1.13886,0.9142,0.9252,0.96516,0.68312,0.99618,0.63018,1.09558,0.0011684,0.0011684,0.0011684
23,951.219,1.01325,0.75263,1.13413,0.89356,0.9254,0.96354,0.68171,1.01646,0.65691,1.09509,0.0011288,0.0011288,0.0011288
24,991.96,1.01506,0.7515,1.12412,0.94301,0.9121,0.96541,0.68139,1.0197,0.60795,1.10784,0.0010892,0.0010892,0.0010892
25,1033.25,0.98716,0.70705,1.11013,0.88543,0.91283,0.95544,0.68291,0.97584,0.61534,1.07149,0.0010496,0.0010496,0.0010496
26,1074.21,0.98419,0.70141,1.10607,0.90301,0.91643,0.96537,0.69105,0.98197,0.61321,1.08173,0.00101,0.00101,0.00101
27,1115.1,0.97543,0.70397,1.11098,0.93912,0.9109,0.97644,0.71922,0.93366,0.57007,1.04521,0.0009704,0.0009704,0.0009704
28,1155.37,0.96188,0.69261,1.09935,0.96339,0.9323,0.9833,0.7195,0.9486,0.53517,1.04573,0.0009308,0.0009308,0.0009308
29,1196.21,0.95968,0.67209,1.08685,0.95221,0.94128,0.98625,0.7183,0.93663,0.52458,1.02618,0.0008912,0.0008912,0.0008912
30,1237.78,0.93681,0.65061,1.08511,0.94276,0.94488,0.98403,0.72221,0.92492,0.54097,1.03085,0.0008516,0.0008516,0.0008516
31,1277.87,0.92556,0.6465,1.07913,0.95859,0.96063,0.98126,0.74229,0.88726,0.52198,1.00585,0.000812,0.000812,0.000812
32,1318.15,0.92107,0.63011,1.07524,0.96389,0.96457,0.99138,0.76601,0.83938,0.47155,0.98461,0.0007724,0.0007724,0.0007724
33,1358.3,0.91317,0.63199,1.07843,0.97101,0.96063,0.99069,0.76267,0.8534,0.45947,0.98474,0.0007328,0.0007328,0.0007328
34,1398.75,0.89493,0.61151,1.05544,0.95693,0.96225,0.98451,0.74161,0.86513,0.48606,0.98507,0.0006932,0.0006932,0.0006932
35,1438.99,0.88496,0.60276,1.06357,0.96888,0.95276,0.98711,0.76936,0.83979,0.46226,0.97842,0.0006536,0.0006536,0.0006536
36,1479.02,0.87436,0.58981,1.0508,0.94178,0.9685,0.98841,0.76195,0.84588,0.47144,0.98732,0.000614,0.000614,0.000614
37,1519.83,0.87105,0.58698,1.0379,0.95746,0.97482,0.99127,0.78409,0.78165,0.4303,0.95108,0.0005744,0.0005744,0.0005744
38,1560.38,0.85119,0.5683,1.03755,0.96136,0.97954,0.98924,0.78171,0.75835,0.43409,0.9375,0.0005348,0.0005348,0.0005348
39,1601.32,0.84794,0.56046,1.03439,0.97269,0.98148,0.99288,0.7776,0.79003,0.42257,0.94755,0.0004952,0.0004952,0.0004952
40,1641.54,0.83057,0.55619,1.02769,0.96293,0.97638,0.99175,0.7833,0.79853,0.42573,0.94392,0.0004556,0.0004556,0.0004556
41,1680.6,0.77306,0.47833,0.99621,0.9769,0.97244,0.99205,0.7849,0.79362,0.42068,0.94622,0.000416,0.000416,0.000416
42,1715.43,0.74918,0.44806,0.98459,0.97503,0.97638,0.99298,0.80429,0.75454,0.40798,0.91988,0.0003764,0.0003764,0.0003764
43,1750.96,0.71607,0.43017,0.9604,0.97172,0.98425,0.99286,0.80148,0.7343,0.40429,0.91867,0.0003368,0.0003368,0.0003368
44,1786.55,0.70979,0.42472,0.96962,0.97636,0.97572,0.99384,0.81174,0.72227,0.38939,0.90815,0.0002972,0.0002972,0.0002972
45,1821.75,0.68834,0.40136,0.95184,0.99111,0.97638,0.99435,0.82574,0.67641,0.36054,0.88862,0.0002576,0.0002576,0.0002576
46,1857.62,0.68138,0.3991,0.95043,0.99198,0.97392,0.99412,0.82461,0.67674,0.36874,0.88647,0.000218,0.000218,0.000218
47,1891.88,0.66545,0.39542,0.94545,0.996,0.97922,0.99473,0.82335,0.6779,0.36268,0.88196,0.0001784,0.0001784,0.0001784
48,1927.59,0.6533,0.3835,0.94072,0.99657,0.98031,0.99481,0.83092,0.67303,0.35536,0.88316,0.0001388,0.0001388,0.0001388
49,1963.14,0.64382,0.37401,0.9285,0.98059,0.9946,0.99477,0.82523,0.6778,0.35555,0.88191,9.92e-05,9.92e-05,9.92e-05
50,1998.1,0.62614,0.36564,0.9232,0.99461,0.98425,0.99488,0.83274,0.64735,0.34879,0.87078,5.96e-05,5.96e-05,5.96e-05
